CNAE2009,TÍTULO_CNAE2009,CNAE2025,TÍTULO_CNAE2025,NIVEL
01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",2
03,Pesca y acuicultura,01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",2
01.1,Cultivos no perennes,01.1,Cultivos no perennes,3
01.2,Cultivos perennes,01.1,Cultivos no perennes,3
01.11,"Cultivo de cereales (excepto arroz), leguminosas y semillas oleaginosas",01.11,"Cultivo de cereales, distintos de arroz, leguminosas y oleaginosas",4
01.12,Cultivo de arroz,01.12,Cultivo de arroz,4
01.13,"Cultivo de hortalizas, raíces y tubérculos",01.13,"Cultivo de hortalizas, raíces y tubérculos",4
01.19,Otros cultivos no perennes,01.13,"Cultivo de hortalizas, raíces y tubérculos",4
01.28,"Cultivo de especias, plantas aromáticas, medicinales y farmacéuticas",01.13,"Cultivo de hortalizas, raíces y tubérculos",4
01.14,Cultivo de caña de azúcar,01.14,Cultivo de caña de azúcar,4
01.15,Cultivo de tabaco,01.15,Cultivo de tabaco,4
01.16,Cultivo de plantas para fibras textiles,01.16,Cultivo de plantas para fibras textiles,4
01.19,Otros cultivos no perennes,01.19,Otros cultivos no perennes,4
01.2,Cultivos perennes,01.2,Cultivos perennes,3
01.21,Cultivo de la vid,01.21,Cultivo de la vid,4
01.22,Cultivo de frutos tropicales y subtropicales,01.22,Cultivo de frutos tropicales y subtropicales,4
01.23,Cultivo de cítricos,01.23,Cultivo de cítricos,4
01.24,Cultivo de frutos con hueso y pepitas,01.24,Cultivo de frutos con hueso y pepitas,4
01.25,Cultivo de otros árboles y arbustos frutales y frutos secos,01.25,Cultivo de otros árboles y arbustos frutales y frutos secos,4
01.26,Cultivo de frutos oleaginosos,01.26,Cultivo de frutos oleaginosos,4
01.27,Cultivo de plantas para bebidas,01.27,Cultivo de plantas para bebidas,4
01.28,"Cultivo de especias, plantas aromáticas, medicinales y farmacéuticas",01.28,"Cultivo de especias, plantas aromáticas, medicinales y farmacéuticas",4
01.29,Otros cultivos perennes,01.29,Otros cultivos perennes,4
01.3,Propagación de plantas,01.3,Propagación de plantas,3
01.30,Propagación de plantas,01.30,Propagación de plantas,4
01.4,Producción ganadera,01.4,Producción ganadera,3
01.6,"Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha",01.4,Producción ganadera,3
03.2,Acuicultura,01.4,Producción ganadera,3
01.41,Explotación de ganado bovino para la producción de leche,01.41,Explotación de ganado bovino para la producción de leche,4
01.42,Explotación de otro ganado bovino y búfalos,01.41,Explotación de ganado bovino para la producción de leche,4
01.42,Explotación de otro ganado bovino y búfalos,01.42,Explotación de otro ganado bovino y búfalos,4
01.43,Explotación de caballos y otros equinos,01.43,Explotación de caballos y otros equinos,4
01.44,Explotación de camellos y otros camélidos,01.44,Explotación de camellos y otros camélidos,4
01.45,Explotación de ganado ovino y caprino,01.45,Explotación de ganado ovino y caprino,4
01.46,Explotación de ganado porcino,01.46,Explotación de ganado porcino,4
01.47,Avicultura,01.47,Avicultura,4
01.49,Otras explotaciones de ganado,01.47,Avicultura,4
01.62,Actividades de apoyo a la ganadería,01.47,Avicultura,4
01.49,Otras explotaciones de ganado,01.48,Otras explotaciones de ganado,4
03.22,Acuicultura en agua dulce,01.48,Otras explotaciones de ganado,4
01.5,Producción agrícola combinada con la producción ganadera,01.5,Producción agrícola combinada con la producción ganadera,3
01.50,Producción agrícola combinada con la producción ganadera,01.50,Producción agrícola combinada con la producción ganadera,4
01.6,"Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha",01.6,"Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha",3
01.61,Actividades de apoyo a la agricultura,01.61,Actividades de apoyo a la agricultura,4
01.62,Actividades de apoyo a la ganadería,01.62,Actividades de apoyo a la ganadería,4
01.63,Actividades de preparación posterior a la cosecha,01.63,Actividades de preparación posterior a la cosecha y tratamiento de semillas para reproducción,4
01.64,Tratamiento de semillas para reproducción,01.63,Actividades de preparación posterior a la cosecha y tratamiento de semillas para reproducción,4
01.7,"Caza, captura de animales y servicios relacionados con las mismas",01.7,"Caza, captura de animales y servicios relacionados ",3
01.70,"Caza, captura de animales y servicios relacionados con las mismas",01.70,"Caza, captura de animales y servicios relacionados ",4
02,Silvicultura y explotación forestal,02,Silvicultura y explotación forestal,2
02.1,Silvicultura y otras actividades forestales,02.1,Silvicultura y otras actividades forestales,3
02.10,Silvicultura y otras actividades forestales,02.10,Silvicultura y otras actividades forestales,4
02.2,Explotación de la madera,02.2,Explotación de la madera,3
02.20,Explotación de la madera,02.20,Explotación de la madera,4
02.3,"Recolección de productos silvestres, excepto madera",02.3,"Recolección de productos silvestres, excepto madera",3
02.30,"Recolección de productos silvestres, excepto madera",02.30,"Recolección de productos silvestres, excepto madera",4
02.4,Servicios de apoyo a la silvicultura,02.4,Servicios de apoyo a la silvicultura,3
02.40,Servicios de apoyo a la silvicultura,02.40,Servicios de apoyo a la silvicultura,4
03,Pesca y acuicultura,03,Pesca y acuicultura,2
33,Reparación e instalación de maquinaria y equipo,03,Pesca y acuicultura,2
03.1,Pesca,03.1,Pesca,3
03.11,Pesca marina,03.11,Pesca marina,4
03.12,Pesca en agua dulce,03.12,Pesca en agua dulce,4
03.2,Acuicultura,03.2,Acuicultura,3
03.21,Acuicultura marina,03.21,Acuicultura marina,4
03.22,Acuicultura en agua dulce,03.22,Acuicultura en agua dulce,4
03.1,Pesca,03.3,Actividades de apoyo a la pesca y la acuicultura,3
03.2,Acuicultura,03.3,Actividades de apoyo a la pesca y la acuicultura,3
33.1,"Reparación de productos metálicos, maquinaria y equipo",03.3,Actividades de apoyo a la pesca y la acuicultura,3
03.11,Pesca marina,03.30,Actividades de apoyo a la pesca y la acuicultura,4
03.12,Pesca en agua dulce,03.30,Actividades de apoyo a la pesca y la acuicultura,4
03.21,Acuicultura marina,03.30,Actividades de apoyo a la pesca y la acuicultura,4
03.22,Acuicultura en agua dulce,03.30,Actividades de apoyo a la pesca y la acuicultura,4
33.11,Reparación de productos metálicos,03.30,Actividades de apoyo a la pesca y la acuicultura,4
05,"Extracción de antracita, hulla y lignito",05,"Extracción de antracita, hulla, y lignito",2
05.1,Extracción de antracita y hulla,05.1,Extracción de antracita y hulla,3
05.10,Extracción de antracita y hulla,05.10,Extracción de antracita y hulla,4
05.2,Extracción de lignito,05.2,Extracción de lignito,3
05.20,Extracción de lignito,05.20,Extracción de lignito,4
06,Extracción de crudo de petróleo y gas natural,06,Extracción de crudo de petróleo y gas natural,2
06.1,Extracción de crudo de petróleo,06.1,Extracción de crudo de petróleo,3
06.10,Extracción de crudo de petróleo,06.10,Extracción de crudo de petróleo,4
06.2,Extracción de gas natural,06.2,Extracción de gas natural,3
06.20,Extracción de gas natural,06.20,Extracción de gas natural,4
07,Extracción de minerales metálicos,07,Extracción de minerales metálicos,2
07.1,Extracción de minerales de hierro,07.1,Extracción de minerales de hierro,3
07.10,Extracción de minerales de hierro,07.10,Extracción de minerales de hierro,4
07.2,Extracción de minerales metálicos no férreos,07.2,Extracción de minerales metálicos no férreos,3
07.21,Extracción de minerales de uranio y torio,07.21,Extracción de minerales de uranio y torio,4
07.29,Extracción de otros minerales metálicos no férreos,07.29,Extracción de otros minerales metálicos no férreos,4
08,Otras industrias extractivas,08,Otras industrias extractivas,2
08.1,"Extracción de piedra, arena y arcilla",08.1,"Extracción de piedra, arena y arcilla",3
