 description                      ,Año,Mes,Día, description                                            
 Fiestas ESTATALES               ,2024,1,1, Año Nuevo                                              
 Fiestas ESTATALES               ,2024,1,6, Epifanía del Señor                                     
 Fiestas ESTATALES               ,2024,3,29, Viernes Santo                                          
 Fiestas ESTATALES,2024,5,1,Fiesta del Trabajo
 Fiestas ESTATALES               ,2024,8,15,Virgen de la Asunción
 Fiestas ESTATALES               ,2024,10,12,Fiesta del Pilar
 Fiestas ESTATALES               ,2024,11,1,Todos Los Santos
 Fiestas ESTATALES               ,2024,12,6,Constitución
 Fiestas ESTATALES,2024,12,8,Inmaculada
 Fiestas ESTATALES,2024,12,25,Natividad del Señor
 Festivos ANDALUCIA              ,2024,2,28, Día de Andalucía                                       
 Festivos ANDALUCIA              ,2024,3,28, Jueves Santo                                           
 Festivos ANDALUCIA              ,2024,12,9,Inmaculada (se traslada)
 Festivos PAÍS VASCO             ,2024,7,25,Santiago
 Festivos PAÍS VASCO             ,2024,28,3,Jueves Santo
 Festivos PAÍS VASCO             ,2024,4,1,Lunes de Pascua
 Festivos PAÍS VASCO             ,2024,10,25,Día del País Vasco
 Festivos ARAGÓN              ,2024,3,28, Jueves Santo                                           
 Festivos ARAGÓN                 ,2024,4,23, San Jorge,  Día de Aragón       
 Festivos ARAGÓN                 ,2024,12,9,Inmaculada (se traslada)
 Festivos ASTURIAS            ,2024,3,28, Jueves Santo                                           
 Festivos ASTURIAS               ,2024,9,9, Día de Asturias                                        
 Festivos BALEARES               ,2024,3,1,Dia de las Islas Baleares
 Festivos BALEARES               ,2024,3,28,Jueves Santo
 Festivos BALEARES               ,2024,4,1, Lunes de Pascua                                        
 Festivos CANARIAS               ,2024,3,28,Jueves Santo
 Festivos CANARIAS               ,2024,5,30,Dia de Canarias
 Festivos CANARIAS               ,2024,6,24,San Juan
 Festivos CANTABRIA              ,2024,28,3,Jueves Santo                                           
 Festivos CANTABRIA              ,2024,4,1,Lunes de Pascua
 Festivos CANTABRIA              ,2024,7,29,Día de las Instituciones
 Festivos CANTABRIA              ,2024,9,16,Día de la Bien Aparecida
 Festivos CASTILLA - LA MANCHA   ,2024,3,28, Jueves Santo                                           
 Festivos CASTILLA - LA MANCHA   ,2024,5,30, Corpus Christi                                         
 Festivos CASTILLA - LA MANCHA   ,2024,5,31,Dia de la región de Castilla la Mancha
 Festivos CASTILLA Y LEÓN        ,2024,3,28, Jueves Santo                                           
 Festivos CASTILLA Y LEÓN        ,2024,4,23,Día de Castilla y León
 Festivos CASTILLA Y LEÓN        ,2024,7,25,santiago apostol
 Festivos CASTILLA Y LEÓN        ,2024,12,9,Inmaculada (se traslada)
 Festivos CATALUÑA               ,2024,4,1, Lunes de Pascua                                        
 Festivos CATALUÑA               ,2024,6,24, San Juan                                               
 Festivos CATALUÑA               ,2024,9,11,Diada
 Festivos CATALUÑA               ,2024,12,26,San Esteban
 Festivos COMUNIDAD VALENCIANA   ,2024,3,19,San José
 Festivos COMUNIDAD VALENCIANA   ,2024,4,1, Lunes de Pascua                                        
 Festivos COMUNIDAD VALENCIANA   ,2024,10,9,Día de la comunidad valenciana
 Festivos EXTREMADURA            ,2024,2,13,Martes de Carnaval
 Festivos EXTREMADURA            ,2024,3,28, Jueves Santo                                           
 Festivos EXTREMADURA            ,2024,9,8,Dia de Extremadura
 Festivos GALICIA                ,2024,3,28,Jueves Santo
 Festivos GALICIA                ,2024,5,17,Día de las letras gallegas
 Festivos GALICIA                ,2024,7,25,Santiago
 Festivos COMUNIDAD DE MADRID    ,2024,3,19,San José
 Festivos COMUNIDAD DE MADRID    ,2024,3,28, Jueves Santo                                           
 Festivos COMUNIDAD DE MADRID    ,2024,5,1,Fiesta del Trabajo
 Festivos REGIÓN DE MURCIA       ,2024,3,28, Jueves Santo                                           
 Festivos REGIÓN DE MURCIA       ,2024,6,9, Día de la Región de Murcia                             
 Festivos REGIÓN DE MURCIA       ,2024,1,1,Año Nuevo
 Festivos NAVARRA                ,2024,3,28,Jueves Santo
 Festivos NAVARRA                ,2024,4,1,Lunes de Pascua
 Festivos NAVARRA                ,2024,3,19,San José
 Festivos NAVARRA                ,2024,7,25,Santiago
 Festivos LA RIOJA               ,2024,3,28, Jueves Santo                                           
 Festivos LA RIOJA               ,2024,4,1, Lunes de Pascua                                        
 Festivos LA RIOJA               ,2024,6,9, Día de La Rioja                                        
 Festivos CIUDAD DE CEUTA        ,2024,4,28,Jueves Santo
 Festivos CIUDAD DE CEUTA        ,2024,8,5,Día de Africa
 Festivos CIUDAD DE CEUTA        ,2024,9,2,Día de Ceuta
 Festivos CIUDAD DE MELILLA      ,2024,3,28, Jueves Santo                                           
 Festivos CIUDAD DE MELILLA      ,2024,6,17,Fiesta del sacrificio
 Festivos CIUDAD DE MELILLA      ,2024,9,9,Virgen Victoria
 Festivos CIUDAD DE MELILLA      ,2024,9,17,Día de Melilla                                      
 Festivos A CORUÑA               ,2024,2,13,Martes de Carnaval
 Festivos A CORUÑA               ,2024,6,24,San Juan
 Festivos ALBACETE               ,2024,6,24, San Juan                                               
 Festivos ALBACETE               ,2024,9,9, Virgen de los Llanos                                   
 Festivos ALICANTE               ,2024,4,11, Santa Faz                                              
 Festivos ALICANTE               ,2024,6,24,San Juan
 Festivos ALMERÍA                ,2024,12,26,San Esteban
 Festivos ALMERÍA                ,2024,8,24,La Virgen del Mar
 Festivos ÁVILA                  ,2024,10,15, Santa Teresa de Jesús                                  
 Festivos ÁVILA                  ,2024,5,2,San Segundo
 Festivos BADAJOZ                ,2024,3,19,San José
 Festivos BADAJOZ                ,2024,6,24, San Juan                                               
 Festivos BARCELONA              ,2024,4,1,Lunes de Pascua
 Festivos BARCELONA              ,2024,9,24, Día de la Mercé                                     
 Festivos BILBAO                 ,2024,7,31,San Ignacio de Loyola
 Festivos BILBAO                 ,2024,8,23, Viernes de la Semana Grande                            
 Festivos BURGOS                 ,2024,6,7, Curpillos                                              
 Festivos BURGOS                 ,2024,6,29, San Pedro y San Pablo                                  
 Festivos CÁCERES                ,2024,4,23, San Jorge                                              
 Festivos CÁCERES                ,2024,5,31, San Fernando                                           
 Festivos CÁDIZ                  ,2024,2,12, Lunes de Carnaval                                      
 Festivos CÁDIZ                  ,2024,10,7, Virgen del Rosario                                     
 Festivos CASTELLÓN              ,2024,3,4,Lunes de la Magdalena                                     
 Festivos CASTELLÓN              ,2024,6,29, San Pedro y San Pablo                                  
 Festivos CEUTA                  ,2024,6,13, San Antonio                                            
 Festivos CEUTA                  ,2024,8,5,Nuestra señora de Africa
 Festivos CIUDAD REAL            ,2024,5,20,Nuestra Señora de Alarcos
 Festivos CIUDAD REAL            ,2024,8,22,Octava de la Virgen del Prado
 Festivos CÓRDOBA                ,2024,9,9, Virgen de Guadalupe                                 
 Festivos CÓRDOBA                ,2024,10,24, San Rafael                                             
Festivos CUENCA,2024,6,1,Virgen de la Luz
 Festivos CUENCA                 ,2024,9,21,San Mateo
 Festivos GIRONA                 ,2024,7,25,Sant Jaume
 Festivos GIRONA                 ,2024,10,29,Sant Narcis
 Festivos GRANADA                ,2024,1,2,Toma de Granada
 Festivos GRANADA                ,2024,5,30,Corpus Christi
 Festivos GUADALAJARA            ,2024,9,12,Fiesta local
 Festivos GUADALAJARA            ,2024,9,13,Fiesta local
 Festivos HUELVA                 ,2024,8,3, Fiestas Colombinas                                     
 Festivos HUELVA                 ,2024,9,8, Virgen de la Cinta                                     
 Festivos HUESCA                 ,2024,1,22, San Vicente                                            
 Festivos HUESCA                 ,2024,8,10, San Lorenzo                                            
 Festivos JAÉN                   ,2024,6,11,Virgen de la Capilla
 Festivos JAÉN                   ,2024,10,18,San Lucas
 Festivos LAS PALMAS             ,2024,2,13, Martes de Carnaval                                     
 Festivos LAS PALMAS             ,2024,9,9,Virgen del Pino 
 Festivos LEÓN                   ,2024,6,24, San Juan                                               
 Festivos LEÓN                   ,2024,10,5, San Froilán                                            
 Festivos LLEIDA                 ,2024,9,30, San Miguel                                             
 Festivos LLEIDA                 ,2024,3,11,Sant Anastasi
 Festivos LOGROÑO                ,2024,9,21,San Mateo
 Festivos LOGROÑO                ,2024,6,11, San Bernabé                                            
 Festivos LUGO                   ,2024,2,13, Martes de Carnaval                                     
 Festivos LUGO                   ,2024,10,5, San Froilán                                            
 Festivos MADRID                 ,2024,5,15, San Isidro                           
 Festivos MADRID                 ,2024,11,9, Nuestra Señora de la Almudena                          
 Festivos MÁLAGA                 ,2024,8,19, Reconquista de Málaga para la Corona de Castilla       
 Festivos MÁLAGA                 ,2024,9,9, Virgen de la Victoria                                  
 Festivos MELILLA                ,2024,9,17,Día de Melilla
 Festivos MELILLA                ,2024,9,9, Virgen de la Victoria                                  
 Festivos MURCIA                 ,2024,4,2,Bando de la Huerta
 Festivos MURCIA                 ,2024,9,17,Romería
 Festivos OURENSE                ,2024,2,13, Martes de Carnaval                                     
 Festivos OURENSE                ,2024,11,11, San Martin                                        
 Festivos OVIEDO                 ,2024,5,21, Martes de Campo                                        
 Festivos OVIEDO                 ,2024,9,21, San Mateo                                              
 Festivos PALENCIA               ,2024,2,2,Virgen de la calle
 Festivos PALENCIA               ,2024,9,2, San Antolín                                            
 Festivos PALMA DE MALLORCA      ,2024,6,24,San Joan
 Festivos PALMA DE MALLORCA      ,2024,12,26,Día siguiente a Navidad
 Festivos PAMPLONA               ,2024,11,29,San Saturnino
 Festivos PAMPLONA               ,2024,12,3,San Francisco Javier
 Festivos PONTEVEDRA             ,2024,2,14, Miércoles de Ceniza                                    
 Festivos PONTEVEDRA             ,2024,7,11,San Benito
 Festivos SALAMANCA              ,2024,6,13, San Juan de Sahagún                  
 Festivos SALAMANCA              ,2024,9,9, Virgen de la Vega                                      
 Festivos SAN SEBASTIÁN          ,2024,7,31,San Ignacio de Loyola
 Festivos SANTA CRUZ DE TENERIFE ,2024,2,2,Virgen de la candelaria
 Festivos SANTA CRUZ DE TENERIFE ,2024,2,13,Martes de Carnaval
 Festivos SANTA CRUZ DE TENERIFE ,2024,5,3,Día de la Cruz
 Festivos SANTANDER              ,2024,5,20,Virgen del Mar
 Festivos SANTANDER              ,2024,8,30,Santos Mártires
 Festivos SEGOVIA                ,2024,6,29,San Pedro
 Festivos SEGOVIA                ,2024,10,25, San Frutos                                             
 Festivos SEVILLA                ,2024,4,17,Miércoles de Feria
 Festivos SEVILLA                ,2024,5,30, Corpus Christi                                         
 Festivos SORIA                  ,2024,6,27,Jueves de la saca
 Festivos SORIA                  ,2024,10,3,San Saturio                          
 Festivos TARRAGONA              ,2024,8,19, Sant Magí                                              
 Festivos TARRAGONA              ,2024,9,23,La Mercé
 Festivos TERUEL                 ,2024,4,2,Sermón de las tortillas
 Festivos TERUEL                 ,2024,7,8,Vaquilla del Ángel
 Festivos TOLEDO                 ,2024,1,23,San Ildefonso
 Festivos TOLEDO                 ,2024,4,1,Lunes de Pascua
 Festivos VALENCIA               ,2024,1,22, San Vicente Martir                                   
 Festivos VALENCIA               ,2024,4,8, San Vicente Ferrer                                     
 Festivos VALLADOLID             ,2024,5,13, San Pedro Regalado                                     
 Festivos VALLADOLID             ,2024,9,9, Nuestra Sra. de San Lorenzo                            
 Festivos VITORIA-GASTEIZ        ,2024,4,29, San Prudencio                                          
 Festivos VITORIA-GASTEIZ        ,2024,8,5,Virgen Blanca
 Festivos ZAMORA                 ,2024,5,20,La Hiniesta
 Festivos ZAMORA                 ,2024,6,29, San Pedro                                              
 Festivos ZARAGOZA               ,2024,3,5,Cincomarzada                                            
 Festivos ZARAGOZA               ,2024,1,29,San Valero
