description,Año,Mes,Día,description
Fiestas ESTATALES,2026,1,1,Año nuevo
Festivos GRANADA,2026,1,2,Toma de Granada
Fiestas ESTATALES,2026,1,6,Epifanía del Señor
Festivos TERUEL,2026,1,7,Fiesta local
Festivos PALMA DE MALLORCA,2026,1,20,Sant Sebastià
Festivos SAN SEBASTIÁN,2026,1,20,San Sebastián
Festivos HUESCA,2026,1,22,San Vicente
Festivos VALENCIA,2026,1,22,San Vicente Mártir
Festivos TOLEDO,2026,1,23,San Ildefonso
Festivos ZARAGOZA,2026,1,29,San Valero
Festivos PALENCIA,2026,2,2,Virgen de la Calle
Festivos SANTA CRUZ DE TENERIFE,2026,2,2,Virgen de la Candelaria
Festivos CÁDIZ,2026,2,16,Lunes de Carnaval
Festivos A CORUÑA,2026,2,17,Martes de Carnaval
Festivos BADAJOZ,2026,2,17,Martes de Carnaval
Festivos LAS PALMAS,2026,2,17,Martes de Carnaval
Festivos LUGO,2026,2,17,Martes de Carnaval
Festivos OURENSE,2026,2,17,Martes de Carnaval
Festivos SANTA CRUZ DE TENERIFE,2026,2,17,Martes de Carnaval
Festivos PONTEVEDRA,2026,2,18,Mércores de Cinza
Festivos ANDALUCIA,2026,2,28,Día de Andalucía
Festivos BALEARES,2026,3,2,Día de las Islas Baleares (Traslado)
Festivos ZARAGOZA,2026,3,5,Cincomarzada
Festivos CASTELLÓN,2026,3,9,Fiestas de la Magdalena
Festivos NAVARRA,2026,3,19,San José
Festivos COMUNIDAD VALENCIANA,2026,3,19,San José
Festivos GALICIA,2026,3,19,San José
Festivos PAÍS VASCO,2026,3,19,San José
Festivos REGIÓN DE MURCIA,2026,3,19,San José
Festivos MELILLA,2026,3,20,Fiesta del Eid Fitr
Festivos CEUTA,2026,3,20,Fiesta del Eid Fitr
Festivos ANDALUCIA,2026,4,2,Jueves Santo
Festivos ARAGÓN,2026,4,2,Jueves Santo
Festivos ASTURIAS,2026,4,2,Jueves Santo
Festivos CANARIAS,2026,4,2,Jueves Santo
Festivos CANTABRIA,2026,4,2,Jueves Santo
Festivos CASTILLA Y LEÓN,2026,4,2,Jueves Santo
Festivos CASTILLA - LA MANCHA,2026,4,2,Jueves Santo
Festivos CEUTA,2026,4,2,Jueves Santo
Festivos COMUNIDAD DE MADRID,2026,4,2,Jueves Santo
Festivos NAVARRA,2026,4,2,Jueves Santo
Festivos EXTREMADURA,2026,4,2,Jueves Santo
Festivos GALICIA,2026,4,2,Jueves Santo
Festivos BALEARES,2026,4,2,Jueves Santo
Festivos LA RIOJA,2026,4,2,Jueves Santo
Festivos MELILLA,2026,4,2,Jueves Santo
Festivos PAÍS VASCO,2026,4,2,Jueves Santo
Festivos REGIÓN DE MURCIA,2026,4,2,Jueves Santo
Fiestas ESTATALES,2026,4,3,Viernes Santo
Festivos CASTILLA - LA MANCHA,2026,4,6,Lunes de Pascua
Festivos CATALUÑA,2026,4,6,Lunes de Pascua Florida
Festivos NAVARRA,2026,4,6,Lunes de Pascua
Festivos COMUNIDAD VALENCIANA,2026,4,6,Lunes de Pascua
Festivos BALEARES,2026,4,6,Lunes de Pascua
Festivos LA RIOJA,2026,4,6,Lunes de Pascua
Festivos PAÍS VASCO,2026,4,6,Lunes de Pascua
Festivos MURCIA,2026,4,7,Bando de la Huerta
Festivos TERUEL,2026,4,7,Sermón de las Tortillas
Festivos VALENCIA,2026,4,13,San Vicente Ferrer
Festivos ALICANTE,2026,4,16,Santa Faz
Festivos SEVILLA,2026,4,22,Miércoles de Feria
Festivos ARAGÓN,2026,4,23,San Jorge. Día de Aragón
Festivos CASTILLA Y LEÓN,2026,4,23,Día de Castilla León
Festivos VITORIA-GASTEIZ,2026,4,28,San Prudencio
Festivos CÁCERES,2026,4,29,San Jorge
Fiestas ESTATALES,2026,5,1,Día del Trabajo
Festivos COMUNIDAD DE MADRID,2026,5,2,Día de la Comunidad de Madrid
Festivos ÁVILA,2026,5,2,San Segundo
Festivos SANTA CRUZ DE TENERIFE,2026,5,4,Festividad de la Santa Cruz (Traslado)
Festivos LLEIDA,2026,5,11,Sant Anastasi
Festivos VALLADOLID,2026,5,13,San Pedro Regalado
Festivos MADRID,2026,5,15,San Isidro
Festivos BARCELONA,2026,5,25,Lunes de Pascua Granada
Festivos CIUDAD REAL,2026,5,25,Nuestra Señora de Alarcos
Festivos SANTANDER,2026,5,25,Virgen del Mar
Festivos ZAMORA,2026,5,25,La Hiniesta
Festivos OVIEDO,2026,5,26,Martes del Campo
