X|X|IT|IMS|T
01|Agricultura, ganadería, caza y servicios relacionados con las mismas|1.50|1.10|2.60
0113|Cultivo de hortalizas, raíces y tubérculos|1.00|1.00|2.00
0119|Otros cultivos no perennes|1.00|1.00|2.00
0129|Otros cultivos perennes|2.25|2.90|5.15
0130|Propagación de plantas|1.15|1.10|2.25
014|Producción ganadera|1.80|1.50|3.30
0147|Avicultura|1.25|1.15|2.40
015|Producción agrícola combinada con la producción ganadera|1.60|1.20|2.80
016|Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha|1.60|1.20|2.80
0164|Tratamiento de semillas para reproducción|1.15|1.10|2.25
017|Caza, captura de animales y servicios relacionados con las mismas|1.80|1.50|3.30
02|Silvicultura y explotación forestal|2.25|2.90|5.15
03|Pesca y acuicultura|3.05|3.35|6.40
v|Grupo segundo de cotización del Régimen especial del Mar|2.10|2.00|4.10
w|Grupo tercero de cotización del Régimen especial del Mar|1.65|1.70|3.35
0322|Acuicultura en agua dulce|3.05|3.20|6.25
05|Extracción de antracita, hulla y lignito|2.30|2.90|5.20
y|Trabajos habituales en interior de minas|3.45|3.70|7.15
06|Extracción de crudo de petróleo y gas natural|2.30|2.90|5.20
07|Extracción de minerales metálicos|2.30|2.90|5.20
08|Otras industrias extractivas|2.30|2.90|5.20
0811|Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra|3.45|3.70|7.15
09|Actividades de apoyo a las industrias extractivas|2.30|2.90|5.20
10|Industria de la alimentación|1.60|1.60|3.20
101|Procesado y conservación de carne y elaboración de productos cárnicos|2.00|1.90|3.90
102|Procesado y conservación de pescados, crustáceos y moluscos|1.80|1.50|3.30
106|Fabricación de productos de molinería, almidones y productos amiláceos|1.70|1.60|3.30
107|Fabricación de productos de panadería y pastas alimenticias|1.05|0.90|1.95
108|Fabricación de otros productos alimenticios|1.05|0.90|1.95
11|Fabricación de bebidas|1.60|1.60|3.20
12|Industria del tabaco|1.00|0.80|1.80
13|Industria textil|1.00|0.85|1.85
1391|Fabricación de tejidos de punto|0.80|0.70|1.50
14|Confección de prendas de vestir|0.80|0.70|1.50
1411|Confección de prendas de vestir de cuero|1.50|1.10|2.60
1420|Fabricación de artículos de peletería|1.50|1.10|2.60
143|Confección de prendas de vestir de punto|0.80|0.70|1.50
15|Industria del cuero y del calzado|1.50|1.10|2.60
16|Industria de la madera y del corcho, excepto muebles; cestería y espartería|2.25|2.90|5.15
1624|Fabricación de envases y embalajes de madera|2.10|2.00|4.10
1629|Fabricación de otros productos de madera; artículos de corcho, cestería y espartería|2.10|2.00|4.10
17|Industria del papel|1.00|1.05|2.05
171|Fabricación de pasta papelera, papel y cartón|2.00|1.50|3.50
18|Artes gráficas y reproducción de soportes grabados|1.00|1.00|2.00
19|Coquerías y refino de petróleo|1.45|1.90|3.35
20|Industria química|1.60|1.40|3.00
204|Fabricación de jabones, detergentes y otros artículos de limpieza y abrillantamiento; fabricación de perfumes y cosméticos|1.50|1.20|2.70
206|Fabricación de fibras artificiales y sintéticas|1.50|1.20|2.70
21|Fabricación de productos farmacéuticos|1.30|1.10|2.40
22|Fabricación de productos de caucho y plástico|1.75|1.25|3.00
23|Fabricación de otros productos minerales no metálicos|2.10|2.00|4.10
231|Fabricación de vidrio y productos de vidrio|1.60|1.50|3.10
232|Fabricación de productos cerámicos refractarios|1.60|1.50|3.10
2331|Fabricación de azulejos y baldosas de cerámica|1.60|1.50|3.10
